# FeatureNumber	PValue
0.0	8.088209113696148e-107
1.0	0.0
2.0	0.0
3.0	0.0
4.0	5.884680307481118e-09
5.0	0.42198812639019073
6.0	8.954737609327471e-57
7.0	1.458057450058647e-110
8.0	0.0003087839937740714
9.0	1.3970245289101561e-05
10.0	1.0864695414883664e-169
11.0	1.6962609237917442e-52
12.0	1.0358185339561778e-88
13.0	1.1972985348674354e-114
14.0	0.0
15.0	3.064051542380528e-86
16.0	1.5126664505182845e-25
17.0	1.9936501842628523e-08
18.0	0.0
19.0	0.0
20.0	3.636989222539634e-75
21.0	4.184227338540895e-07
22.0	0.005696671800563572
23.0	4.390722065852372e-307
24.0	4.536882033485965e-157
25.0	1.5558958037540587e-07
27.0	1.3381135584764754e-50
28.0	5.390494006067901e-40
30.0	3.113125382453722e-73
31.0	5.448375551424497e-26
32.0	1.4410018541341687e-116
33.0	1.2311480229283263e-307
34.0	1.5558958037540587e-07
35.0	0.7643029861647783
36.0	5.0443684297787215e-05
37.0	1.5089995950553882e-65
38.0	8.704795859025017e-276
39.0	5.371113899293712e-208
40.0	4.801077968601906e-40
41.0	1.0342979376968174e-38
42.0	1.8093461983155208e-53
43.0	7.141933812929408e-151
44.0	0.0
45.0	0.0
47.0	1.1150034449434838e-140
48.0	1.4242914881030076e-181
49.0	5.241441876609991e-12
50.0	8.233560990405796e-135
51.0	1.2588664744434503e-93
52.0	0.0
53.0	8.755936258908622e-273
54.0	5.626275904736214e-217
55.0	0.0
56.0	0.0015924943088918215
57.0	9.437629091377427e-15
58.0	7.004767170787364e-17
59.0	2.7167869544307856e-06
60.0	9.169567229265891e-39
61.0	6.776338644985101e-05
62.0	1.543202885776839e-14
63.0	1.4033568001018815e-14
64.0	1.40517243312532e-05
65.0	3.539191340960236e-291
66.0	0.0
67.0	4.642705347380389e-40
68.0	0.0
69.0	0.0
70.0	0.0
72.0	5.658293858775524e-276
73.0	3.79076404567501e-213
74.0	1.4481651614325323e-68
75.0	0.16754771578080402
76.0	0.0014723867143335127
77.0	0.0008433680387580108
