	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
183	MA0488.1	JUN	JUN	ENSG00000177606	ENST00000371222
184	MA0489.1	JUN(var.2)	JUN	ENSG00000177606	ENST00000371222
185	MA0490.1	JUNB	JUNB	ENSG00000171223	ENST00000302754
186	MA0491.1	JUND	JUND	ENSG00000130522	['ENST00000252818', 'ENST00000600972']
187	MA0492.1	JUND(var.2)	JUND	ENSG00000130522	['ENST00000252818', 'ENST00000600972']
188	MA0495.1	MAFF	MAFF	ENSG00000185022	['ENST00000338483', 'ENST00000407965', 'ENST00000417948', 'ENST00000426621', 'ENST00000441709', 'ENST00000538320', 'ENST00000538999', 'ENST00000624676']
189	MA0495.2	MAFF	MAFF	ENSG00000185022	['ENST00000338483', 'ENST00000407965', 'ENST00000417948', 'ENST00000426621', 'ENST00000441709', 'ENST00000538320', 'ENST00000538999', 'ENST00000624676']
190	MA0496.1	MAFK	MAFK	ENSG00000198517	['ENST00000343242', 'ENST00000403150', 'ENST00000406174']
191	MA0496.2	MAFK	MAFK	ENSG00000198517	['ENST00000343242', 'ENST00000403150', 'ENST00000406174']
192	MA0497.1	MEF2C	MEF2C	ENSG00000081189	['ENST00000340208', 'ENST00000424173', 'ENST00000437473', 'ENST00000502831', 'ENST00000502983', 'ENST00000503075', 'ENST00000503554', 'ENST00000503955', 'ENST00000504921', 'ENST00000506554', 'ENST00000506716', 'ENST00000507984', 'ENST00000508569', 'ENST00000508610', 'ENST00000509349', 'ENST00000509373', 'ENST00000510942', 'ENST00000510980', 'ENST00000511086', 'ENST00000513252', 'ENST00000514015', 'ENST00000514028', 'ENST00000515093', 'ENST00000515715', 'ENST00000625585', 'ENST00000625674', 'ENST00000626391', 'ENST00000627170', 'ENST00000627659', 'ENST00000627717', 'ENST00000628656', 'ENST00000629612', 'ENST00000629847', 'ENST00000631026', 'ENST00000635837', 'ENST00000635898', 'ENST00000636061', 'ENST00000636143', 'ENST00000636294', 'ENST00000636336', 'ENST00000636349', 'ENST00000636517', 'ENST00000636541', 'ENST00000636998', 'ENST00000637048', 'ENST00000637167', 'ENST00000637231', 'ENST00000637372', 'ENST00000637481', 'ENST00000637506', 'ENST00000637531', 'ENST00000637663', 'ENST00000637664', 'ENST00000637732', 'ENST00000637754', 'ENST00000637801']
193	MA0498.2	MEIS1	MEIS1	ENSG00000143995	['ENST00000272369', 'ENST00000398506', 'ENST00000409517', 'ENST00000409622', 'ENST00000437869', 'ENST00000450027', 'ENST00000466811', 'ENST00000475239', 'ENST00000488550', 'ENST00000490726', 'ENST00000491706', 'ENST00000495021', 'ENST00000496248', 'ENST00000498705', 'ENST00000542964', 'ENST00000560281', 'ENST00000606455']
