	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
103	MA0106.3	TP53	TP53	ENSG00000141510	['ENST00000269305', 'ENST00000359597', 'ENST00000413465', 'ENST00000420246', 'ENST00000445888', 'ENST00000455263', 'ENST00000503591', 'ENST00000504290', 'ENST00000504937', 'ENST00000505014', 'ENST00000508793', 'ENST00000509690', 'ENST00000510385', 'ENST00000514944', 'ENST00000571370', 'ENST00000574684', 'ENST00000576024', 'ENST00000604348', 'ENST00000610292', 'ENST00000610538', 'ENST00000610623', 'ENST00000615910', 'ENST00000617185', 'ENST00000618944', 'ENST00000619186', 'ENST00000619485', 'ENST00000620739', 'ENST00000622645', 'ENST00000635293']
104	MA0107.1	RELA	RELA	ENSG00000173039	['ENST00000308639', 'ENST00000406246', 'ENST00000525301', 'ENST00000525658', 'ENST00000525693', 'ENST00000525858', 'ENST00000526257', 'ENST00000526283', 'ENST00000526738', 'ENST00000527074', 'ENST00000527749', 'ENST00000527874', 'ENST00000527909', 'ENST00000529330', 'ENST00000529389', 'ENST00000531238', 'ENST00000531484', 'ENST00000532776', 'ENST00000532879', 'ENST00000532999', 'ENST00000533187', 'ENST00000533546', 'ENST00000534283', 'ENST00000534305', 'ENST00000534558', 'ENST00000612991', 'ENST00000615805']
105	MA0112.1	ESR1	ESR1	ENSG00000091831	['ENST00000206249', 'ENST00000338799', 'ENST00000404742', 'ENST00000406599', 'ENST00000415488', 'ENST00000427531', 'ENST00000440973', 'ENST00000443427', 'ENST00000446550', 'ENST00000456483', 'ENST00000473497', 'ENST00000482101', 'ENST00000488573', 'ENST00000638569', 'ENST00000641399']
106	MA0112.2	ESR1	ESR1	ENSG00000091831	['ENST00000206249', 'ENST00000338799', 'ENST00000404742', 'ENST00000406599', 'ENST00000415488', 'ENST00000427531', 'ENST00000440973', 'ENST00000443427', 'ENST00000446550', 'ENST00000456483', 'ENST00000473497', 'ENST00000482101', 'ENST00000488573', 'ENST00000638569', 'ENST00000641399']
107	MA0112.3	ESR1	ESR1	ENSG00000091831	['ENST00000206249', 'ENST00000338799', 'ENST00000404742', 'ENST00000406599', 'ENST00000415488', 'ENST00000427531', 'ENST00000440973', 'ENST00000443427', 'ENST00000446550', 'ENST00000456483', 'ENST00000473497', 'ENST00000482101', 'ENST00000488573', 'ENST00000638569', 'ENST00000641399']
108	MA0113.1	NR3C1	NR3C1	ENSG00000113580	['ENST00000231509', 'ENST00000343796', 'ENST00000394464', 'ENST00000394466', 'ENST00000415690', 'ENST00000424646', 'ENST00000502500', 'ENST00000502892', 'ENST00000503201', 'ENST00000503701', 'ENST00000504336', 'ENST00000504572', 'ENST00000505058', 'ENST00000508760', 'ENST00000510170', 'ENST00000514699', 'ENST00000652686']
109	MA0113.3	NR3C1	NR3C1	ENSG00000113580	['ENST00000231509', 'ENST00000343796', 'ENST00000394464', 'ENST00000394466', 'ENST00000415690', 'ENST00000424646', 'ENST00000502500', 'ENST00000502892', 'ENST00000503201', 'ENST00000503701', 'ENST00000504336', 'ENST00000504572', 'ENST00000505058', 'ENST00000508760', 'ENST00000510170', 'ENST00000514699', 'ENST00000652686']
110	MA0114.2	HNF4A	HNF4A	ENSG00000101076	['ENST00000316099', 'ENST00000316673', 'ENST00000372920', 'ENST00000415691', 'ENST00000443598', 'ENST00000457232', 'ENST00000609262', 'ENST00000609795', 'ENST00000619550']
111	MA0115.1	NR1H2::RXRA	NR1H2	ENSG00000131408	['ENST00000253727', 'ENST00000411902', 'ENST00000593532', 'ENST00000593926', 'ENST00000595730', 'ENST00000597085', 'ENST00000597130', 'ENST00000597157', 'ENST00000597790', 'ENST00000598168', 'ENST00000599105', 'ENST00000600355', 'ENST00000600978', 'ENST00000652203']
112	MA0119.1	NFIC::TLX1	NFIC	ENSG00000141905	['ENST00000341919', 'ENST00000395111', 'ENST00000443272', 'ENST00000586919', 'ENST00000588839', 'ENST00000589123', 'ENST00000589164', 'ENST00000589537', 'ENST00000589969', 'ENST00000590282', 'ENST00000641145']
